,Unnamed: 0,marca,nombre,presentacion,producto_id,precio,sucursal_id,semana,comercioid,banderaid,banderadescripcion,comerciorazonsocial,provincia,localidad,direccion,lat,lng,sucursalnombre,sucursaltipo
1221,1221,REXONA,Desodorante Aerosol para Pies Efficient Rexona 153 Ml,153.0 ml,7791293033471,185.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1222,1222,CLOSE UP,Crema Dental Peppermint Drops Close Up 90 Gr,90.0 gr,7791293034461,115.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1223,1223,IMPULSE,Desodorante Impulse Musk 150 Ml,150.0 ml,7791293035734,157.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1224,1224,REXONA,Desodorante Aerosol Pomelo Verbena Rexona 150 Ml,150.0 ml,7791293036045,155.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1225,1225,DOVE,Desodorante Melon y Te Verde Aerosol Dove 89 Gr,89.0 gr,7791293036663,125.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1226,1226,LUX,Jabon Lirio Azul Lux 3 Un 125 Gr,3.0 un,7791293037578,95.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1227,1227,LUX,Jabon Liquido Rosas Francesas Doypack Lux 220 Ml,220.0 ml,7791293037660,100.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1228,1228,PATRICHS,Desodorante en Aerosol Aviator Patrichs 230 Cc,230.0 cc,7791293037912,158.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1229,1229,DOVE,Desodorante en Aerosol Nutri Secrets Dove 150 Ml,150.0 ml,7791293038155,125.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1230,1230,SEDAL,Acondicionador Bomba Coco Sedal 650 Ml,650.0 ml,7791293038322,205.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1231,1231,AXE,Desodorante en Aerosol Masculino Axe Freestyle 97 Gr,97.0 gr,7791293039114,109.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1232,1232,51,Nuez Moscada Molida 51 25 Gr,25.0 gr,7791310001230,116.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1233,1233,MINI PITUSAS,Galletitas Chocolate Mini Pitusas 160 Gr,160.0 gr,7791324157046,48.5,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1234,1234,YOGUR,Yogur Cremoso Banana 120 Gr,120.0 gr,7791337000513,44.9,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1235,1235,YOPRO,Shake Mocca Yopro 250 Ml,250.0 ml,7791337001183,85.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1236,1236,DANONE,Yogur Entero con Frutas Frutilla Gran Compra 120 Gr,120.0 gr,7791337001367,25.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1237,1237,SER,Yogur Durazno en Sachet Ser 1 Kg,1.0 kg,7791337001589,105.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1238,1238,YOGUR,Yogur Entero Firme Frutilla 120 Gr,120.0 gr,7791337001848,35.9,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1239,1239,SER,Postre Chocolate Ser 100 Gr,100.0 gr,7791337002012,47.9,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1240,1240,GRAN COMPRA,Yogur Entero Vanilla Gran Compra 140 Gr,140.0 gr,7791337137417,31.57,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1241,1241,LA SERENÍSIMA,Yogur Entero Natural Endulzado La Serenisima 200 Gr,200.0 gr,7791337602014,101.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1242,1242,YOGURÍSIMO,Yogur Bebible Entero Frutilla en Sachet Yogurisimo 1 Kg,1.0 kg,7791337650824,106.04,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1243,1243,YOGURÍSIMO,Yogur Entero Frutilla Fortificado Yogurisimo 120 Gr,120.0 gr,7791337965720,44.9,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1244,1244,EL PEONCITO,Ciruelas Secas Mercado Interno El Peoncito 500 Gr,500.0 gr,7791351010659,177.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1245,1245,VILLARES,Almendras Peladas Villares 150 Gr,150.0 gr,7791351129702,264.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1246,1246,TREMBLY,Gomitas Selva Trembly 48 Gr,48.0 gr,7791359120152,61.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1247,1247,RAZA,Alimento para Perros Pollo Carne Cereales y Arroz Raza 3 Kg,3.0 kg,7791416065662,244.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1248,1248,RAZA,Alimento para Gatos Cachorros Raza 500 Gr,500.0 gr,7791416072530,78.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
